query,ground_truth_answer,traditional_faithfulness,traditional_answer_relevancy,traditional_context_recall,traditional_context_precision,traditional_entity_recall,modified_faithfulness,modified_answer_relevancy,modified_context_recall,modified_context_precision,modified_entity_recall
Who asked that the torch relay be ended?,IOC members.,0.642554998,0.831886172,0,0,0,0.559938133,0.1522616,0,0,0
What was halted with the torch relay for future Olympics?,global relays,0.667705297,0.810010195,0,0,0,0.426580966,0.834659338,0,0,0
The international torch relay was canceled for what event in June 2008?,Paralympic Games,0.36942777,0.292813897,0,0,0,0.38172555,0.331152022,0,0,0
For what events was the torch relay decided to not be held?,Paralympic Games,0.784994543,0.729869246,0,0,0,0.740344763,0.728125334,0,0,0
What is the Chinese design used on the Olympic Torch?,Lucky Cloud,0.566249728,0.757279158,0.5,0.05,0,0.219719857,0.236669719,0.5,0.142857143,0
What is the Olympic Torch made from?,aluminum.,0.545421898,0.830443382,0,0,0,0.264258772,0.370003641,0,0,0
How much does the Olympic Torch weigh?,985 grams,0.09019573,0.363455474,1,0.034482759,1,0.550254703,0.363455474,0,0,1
What is used to light the flame on the Olympic Torch?,An ignition key,0.710848451,0.801836729,0,0,0,0.312887311,0.107094184,0,0,0
What was the design name of the Chinese Olympic Torch?,Lucky Cloud,0.71374619,0.84108299,0,0,0,0.517909527,0.799947262,0,0,0
What metal is the torch constructed from?,aluminum.,0.567172468,0.83998251,0,0,0,0.442403615,0.487949669,0,0,0
What wind speed will the torch flame still stay lit in MPH?,37,0.68106389,0.841879249,0,0,0,0.697915435,0.856812835,0,0,0
How much rainfall in inches per hour can the torch stay lit under?,2,0.570659518,0.890666246,0,0,0,0.286838204,0.463490397,0,0,0
What fuel is used for the torch?,propane.,0.616998196,0.729679704,0,0,0,0.780235529,0.729679704,0,0,0
"When it was necessary for the Olympic Torch to be on an airplane, which one was used?",a chartered Air China Airbus A330,0.662803888,0.888004541,0,0,0,0.605818391,0.643239915,0,0,0
What color was the chartered plane?,red and yellow,0.452281833,0.836017489,0,0,0,0.471675336,0.735477805,0,0,0
When was it decided that Air China would be the official torch carrier?,Mar-08,0.804234505,0.834043026,1,0.043478261,1,0.307488263,0.822090566,0,0,0
How many days did the plane travel?,130 days,0.16689992,0.458974928,0,0,1,0.464431465,0.810830534,0,0,1
What type of aircraft did the Torch team travel in?,Airbus A330,0.65415436,0.773112297,0,0,0,0.569073498,0.746289849,0,0,0
What colors was the aircraft painted?,red and yellow,0.559116364,0.755449951,0,0,0,0.559116364,0.755449951,0,0,0
What was the name of the airline that transported the Olympic Torch?,Air China,0.708949447,0.859048605,0,0,1,0.718671203,0.847518921,0,0,1
How many days did the plane travel with the Torch team?,130,0.127716005,0.372611165,0,0,0,0.127716005,0.372611165,0,0,0
How many different places were visited by the aircraft taking the Torch team?,21,0.123080395,0.248111084,0,0,1,0.298886716,0.253673375,0,0,0
How many continents did the torch visit?,six,0.078145847,0.282063127,0,0,1,0.364289969,0.302443087,0,0,1
What was the stop that was to happen between Ho Chi Minh City and Hong Kong?,Taipei,0.546896577,0.78371489,1,0.083333333,1,0.546896577,0.78371489,1,0.083333333,1
The Republic of China felt that the wrong decision could place Taiwan on the same level as what two areas?,Hong Kong and Macau,0.262132287,0.334384143,0.666666667,0.095238095,1,0.570091307,0.334384143,0.333333333,0.166666667,1
The torch route covered six what?,continents,0.25601086,0.356820464,1,0.041666667,0,0.325373709,0.356820464,1,0.083333333,0
What government disagreed on the language used to describe the torch route?,Taiwan.,0.43180114,0.531185091,0,0,0,0.43180114,0.531185091,0,0,0
What two places did Taiwan not want to be considered equal with in the language of the torch's route description?,Hong Kong and Macau,0.606055975,0.817459822,0.5,0.047619048,1,0.417119324,0.498048067,0.5,0.125,1
How many kilometers was the torch supposed to go through Taiwan?,24,0.706293344,0.864895642,1,0.035714286,0,0.515168071,0.394525766,1,0.166666667,0
On what date did the Olympic Flame get lit?,"March 24, 2008",0.199549153,0.365925431,1,0.04,1,0.44252336,0.365925431,0,0,1
Where did the Olympic Flame get lit?,"Olympia, Greece.",0.398945063,0.365028054,1,0.043478261,1,0.611166716,0.734777033,0,0,1
Who was the first person to carry the torch?,Alexandros Nikolaidis,0.560788214,0.675074816,1,0.033333333,1,0.605784535,0.185283616,0,0,0
Who initially lit the Olympic Torch?,Maria Nafpliotou,0.384934455,0.238816723,0,0,0,0.143840268,0.136550516,0,0,0
When did demonstrators yell for Tibet to be freed?,"March 30, 2008",0.62739408,0.854100943,0,0,0,0.121875584,0.141303897,0,0,0
Where is the location of the original Olympic events?,"Olympia, Greece.",0.5161497,0.702227235,0,0,1,0.5161497,0.702227235,0,0,1
What is the name of the woman who lit the torch for the new games?,Maria Nafpliotou,0.489169478,0.842265248,0,0,1,0.43865481,0.827808499,0,0,1
What medal did the first torchbearer have from prior games?,silver,0.716398597,0.697233856,1,0.04,0,0.63834244,0.898138702,1,0.04,0
What is the name of the first torchbearer for the 2008 Olympics?,Alexandros Nikolaidis,0.633391082,0.775330007,0.5,0.034482759,1,0.062343262,0.20682314,0,0,0
What place had police experience violent problems with protesters?,Nepal.,0.724877834,0.675594628,0,0,0,0.256618977,0.304645866,0,0,0
Action was taken to boycott which company?,Carrefour,0.556301117,0.80345428,0,0,0,0.522274911,0.746367335,0,0,0
Who was the biggest shareholder of Carrefour?,the LVMH Group,0.344163537,0.767471492,1,0.071428571,1,0.683247149,0.786347389,1,0.125,1
What did some protesters burn?,the French flag,0.514041543,0.685356796,0,0,0,0.608289301,0.735678136,0,0,0
Where were anti-protesters blocked from entering a Carrefour store with Chinese flags?,Kunming,0.695926309,0.771710873,1,0.1,1,0.300800681,0.384183049,1,0.1,1
Who was said to have given money to the Dalai Lama?,the LVMH Group,0.563692391,0.662950516,0,0,1,0.736849427,0.125846118,0,0,0
What method did the Chinese government use to ease the boycott situation?,censorship,0.637027264,0.702718616,1,0.043478261,0,0.825715065,0.693787217,1,0.166666667,0
What French company was being boycotted?,Carrefour,0.746025622,0.63159126,1,0.066666667,0,0.746025622,0.63159126,1,0.066666667,0
In what publication were Chinese people asked to be orderly and legal because of the protests and demonstrations?,People's Daily,0.271569252,0.273445427,1,0.058823529,0,0.271569252,0.273445427,1,0.058823529,0
What is the name of the publication where Chinese people were advised to be calm and rational about patriotism?,People's Daily,0.181175798,0.162317187,1,0.066666667,0,0.182978213,0.154905558,1,0.066666667,0
The Chinese people were told to show patriotism in an orderly and what manner?,legal,0.322205067,0.481731683,1,0.111111111,0,0.322205067,0.481731683,1,0.111111111,0
What virgin site did the torch visit on April 2?,Almaty,0.662971556,0.636628568,0,0,0,0.662971556,0.636628568,0,0,0
Who was the first person to be handed the torch in Almaty?,Nursultan Nazarbaev.,0.311591566,0.233136997,1,0.066666667,1,0.245457023,0.215012476,1,0.066666667,1
Who is Nursultan Nazarbaev?,the President of Kazakhstan,0.577833652,0.446556538,1,0.043478261,1,0.367734313,0.438676864,1,0.043478261,1
The route in Almaty went from Medeo Stadium to where?,Astana Square.,0.350909084,0.605344951,0.5,0.034482759,1,0.393998623,0.837190807,0.5,0.034482759,1
What kind of activists were arrested in Almaty?,Uighur activists,0.3567321,0.409251124,1,0.047619048,1,0.432021916,0.554141879,1,0.047619048,1
What country did the torch get to for the first time?,Kazakhstan,0.552384973,0.411031395,1,0.037037037,0,0.483805299,0.259445548,0,0,0
What is the name of the president who was the first torchbearer in Almaty?,Nursultan Nazarbaev.,0.51858151,0.790405273,1,0.086956522,1,0.51858151,0.790405273,1,0.086956522,1
What was the distance in kilometers for the route in Kazakhstan?,20,0.368768185,0.544132233,1,0.041666667,0,0.239198744,0.542874813,1,0.041666667,0
What activists were reported to have been arrested?,Uighur,0.911906779,0.509948254,0,0,0,0.635565639,0.614772141,0,0,0
When was the torch in Istanbul?,Apr-03,0.732316256,0.735463381,1,0.037037037,1,0.314076185,0.229335025,1,0.125,1
Where did the torch end up in Istanbul?,Taksim Square,0.600558698,0.67464447,1,0.033333333,0,0.676688194,0.67464447,1,0.142857143,0
Where did the torch start in Instanbul?,Sultanahmet Square,0.071891546,0.164279819,0,0,0,0.12312679,0.155573785,0,0,0
Who protested for their compatriots who were in Xinjiang?,Uyghurs living in Turkey,0.610192001,0.53132987,0,0,0,0.59580183,0.612524807,0,0,0
What city was the Olympic Torch at on April 3rd?,Istanbul,0.708736181,0.769496024,0,0,0,0.351113677,0.78804934,0,0,0
What is the name of the place in the city where the torch relay started in Turkey?,Sultanahmet Square,0.202709854,0.304770052,1,0.033333333,0,0.751463652,0.840662599,0,0,0
Where did the torch relay finish in Turkey?,Taksim Square.,0.67825532,0.853739858,1,0.037037037,0,0.650487542,0.701806724,0,0,0
What people in Turkey protested for their people living in China?,Uyghurs,0.633307636,0.815153599,0.5,0.041666667,0,0.633307636,0.815153599,0.5,0.041666667,0
What happened to protesters who tried to interrupt the carrying of the torch?,arrested,0.714973927,0.744223297,0,0,0,0.610792756,0.743845463,0,0,0
When did the torch arrive in Saint Petersburg?,Apr-05,0.537199676,0.812597513,0,0,1,0.216362596,0.170733899,1,0.125,0
Where was the start of the torch route in Saint Petersburg?,Victory Square,0.57855612,0.751773715,0,0,0,0.384674489,0.254386365,1,0.142857143,0
Where did the torch route end in Saint Petersburg?,Palace Square,0.632602334,0.670988381,0,0,0,0.766137719,0.707660675,1,0.142857143,1
Who is the first MMA fighter to participate in carrying the Olympic torch?,Fedor Emelianenko,0.672743082,0.698152423,1,0.08,1,0.279622585,0.204253048,1,0.08,1
Where in Russia was the first stop for the relay?,Saint Petersburg,0.516465962,0.877172232,1,0.086956522,0,0.029090002,0.475148022,0,0,0
What city location did the torch relay begin in Russia?,Victory Square,0.658885717,0.840731502,1,0.038461538,0,0.826704383,0.831026614,0,0,0
What was the last location for the relay in Russia?,Palace Square.,0.491465032,0.880647182,1,0.043478261,0,0.491465032,0.880647182,1,0.043478261,0
What is the name of the MMA fighter who carried the torch in Russia?,Fedor Emelianenko,0.331421554,0.333971232,0.5,0.037037037,1,0.288155526,0.310388923,0.5,0.037037037,1
Which city hosted the 2012 Summer Olympics?,London,0.542970836,0.877428412,0,0,1,0.340938747,0.257180154,0,0,1
When did the torch route begin in London?,Apr-06,0.68512392,0.739055574,1,0.038461538,1,0.321243703,0.196689576,0,0,0
How much did security cost for the torch relay in London?,"£750,000",0.66380012,0.920402169,1,0.052631579,1,0.564887166,0.376462311,0,0,1
What city held the Olympics in 2012?,London,0.274079084,0.323062479,0,0,1,0.314292908,0.323062479,0,0,1
Where did the torch relay begin in London for the 2008 Olympics?,Wembley Stadium,0.756433368,0.897587299,0.5,0.035714286,1,-0.018467499,0.131533086,0,0,0
Where did the relay end in London?,O2 Arena,0.654206872,0.744246125,1,0.037037037,1,0.43347317,0.885807693,0,0,0
How many miles was the relay in England?,30 mi,0.277483821,0.495589674,0,0,1,0.557848215,0.884514749,0,0,1
What word was used by London officials to describe Chinese security guards for their treatment of protesters?,thugs,0.596692562,0.875661612,1,0.166666667,0,0.621355176,0.889634132,1,0.166666667,0
How many torchbearers took part in the London route?,80,0.059882034,0.226922527,1,0.035714286,0,0.329565465,0.222141534,0,0,1
Who was the first person to hold the torch for the London route?,Sir Steve Redgrave,0.0112711,0.105053872,1,0.064516129,0,0.668813169,0.286924183,0,0,1
"Along with Francesca Martinez, who decided to not carry the torch?",Richard Vaughan,0.469302505,0.444556236,1,0.0625,1,0.015815239,0.609400272,0,0,0
Who was outside at 10 Downing Street to welcome the torch without actually touching it?,Prime Minister Gordon Brown,0.133436829,0.212432802,0,0,1,0.133436829,0.212432802,0,0,1
Who got emails asking him to boycott the torch relay?,Sir Steve Redgrave,0.205157563,0.15066123,0,0,1,0.205157563,0.15066123,0,0,1
How many people carried the torch in England for the 2008 Olympics?,80,0.111893989,0.205719501,0,0,0,0.111893989,0.205719501,0,0,0
What two people in England declined to bear the torch?,Francesca Martinez and Richard Vaughan,0.415136337,0.630267739,0,0,1,0.482236087,0.659158349,0,0,1
Where did Gordon Brown welcome the torch?,10 Downing Street,0.585334063,0.714771688,1,0.052631579,1,0.613752246,0.714771688,0,0,1
Where was an attempt made to take the torch?,Ladbroke Grove,0.779744327,0.650829554,0,0,0,0.291761875,0.037262894,0,0,0
When did the torch relay in Paris occur?,Apr-07,0.605646849,0.849984407,1,0.041666667,1,0.234773025,0.212539464,0,0,0
Where did the Paris route start for the torch relay?,the Eiffel Tower,0.297876745,0.555320144,1,0.038461538,0,0.556867182,0.591795802,0,0,0
"Rather than being carried by an athlete, how did the torch end its route in Paris?",by bus,0.63860023,0.786250472,1,0.035714286,0,0.66436851,0.789666176,1,0.037037037,0
The flame of the torch was put out when David Douillet was ready to hand it to who?,Teddy Riner,0.45631811,0.786053181,1,0.052631579,0,0.421434164,0.096324578,0,0,1
What date did the torch relay begin in France?,Apr-07,0.674415588,0.890766501,1,0.041666667,1,0.20175153,0.299750328,0,0,0
What city in France did the torch relay start at?,Paris,0.561369777,0.589573979,1,0.045454545,1,0.36165309,0.434212893,0,0,0
Where location was the torch relay started in the city in Paris?,Eiffel Tower,0.493530035,0.679812789,1,0.045454545,0,0.546503723,0.291804969,0,0,0
About how many police were said to have protected the torch in France?,"(3, 0)",0.236260116,0.424706966,1,0.058823529,0,0.333028734,0.166474015,0,0,0
How many times was the torch put out in France die to security concerns?,five,0.670989931,0.71716553,1,0.058823529,0,0.670989931,0.71716553,1,0.058823529,0
Who threw a a Tibetan flag from a City Hall window?,Green Party officials.,0.30202806,0.388123512,0.5,0.090909091,0,0.377938181,0.26942879,0.5,0.2,1
Which torchbearer was in a wheelchair?,Jin Jing,0.242826268,0.308214545,0,0,1,0.242826268,0.308214545,0,0,1
What was Jin Jing called by ethnic Chinese?,Angel in Wheelchair,0.596437931,0.779398203,1,0.086956522,0,0.596437931,0.779398203,1,0.086956522,0
What was stopped due to protest interruptions?,torch relay ceremony,0.468298495,0.720297873,0,0,0,0.477961004,0.558583021,0,0,0
What is the name of the handicapped bearer of the torch?,Jin Jing,0.532851875,0.744183421,0,0,1,0.532851875,0.744183421,0,0,1
What did the ethnic Chinese call the disabled torch bearer?,Angel in Wheelchair,0.524586856,0.400088489,1,0.045454545,0,0.524586856,0.400088489,1,0.045454545,0
Who put a flag of Tibet out of the window at City Hall?,Green Party officials.,0.123469204,0.123705931,0.5,0.058823529,0,0.38684845,0.271028578,0,0,1
Which organization planned several protests?,Reporters Without Borders,0.625418484,0.648823798,0,0,0,0.440284073,0.644387782,0,0,0
What did Reporters Without Borders scale in order to put a protest banner on it?,the Eiffel Tower,0.580764771,0.749058902,1,0.045454545,1,0.580764771,0.749058902,1,0.045454545,1
Which cathedral did Reporters Without Borders hang another protest banner?,Notre Dame cathedral,0.102721065,0.422306418,1,0.066666667,1,0.262156367,0.448598802,1,0.166666667,0
What was hung from the Eiffel Tower?,banner,0.560444593,0.937367201,1,0.047619048,0,0.452161372,0.16607219,1,0.047619048,0
Who climbed the Eiffel Tower to hang a protest banner?,Reporters Without Borders,0.653118134,0.766373754,1,0.05,0,0.116037309,0.175759196,1,0.05,0
Where else was a copy of the banner at Eiffel Tower hung?,Notre Dame cathedral.,0.541689634,0.807851553,1,0.04,1,0.541689634,0.807851553,1,0.038461538,1
Where did hundreds of pro-Tibet protesters meet?,the Trocadéro,0.685723364,0.667328358,0,0,1,0.305266052,0.250912696,0.5,0.166666667,0
Who spoke to the media about China's lack of freedom of speech?,Jane Birkin,0.591882348,0.828026652,1,0.066666667,0,0.327956796,0.22645241,0,0,1
Who is the President of the French Tibetan community that urged protesters to remain peaceful?,Thupten Gyatso,0.139947921,0.235090643,1,0.095238095,0,0.455552876,0.235090643,1,0.285714286,0
Where did pro-Tibetan protesters get together?,Trocadéro,0.462499976,0.471563727,0,0,0,0.336391062,0.214060813,0,0,0
The Trocadéro was not disruptive of the relay and said to have been what?,peaceful,0.486396551,1.000000119,0,0,0,0.486396551,1.000000119,0,0,0
"Who, of the Trocadéro protest, spoke to the media?",Jane Birkin,0.602264404,0.491295397,1,0.038461538,0,0.602264404,0.491295397,1,0.038461538,0
What did the person who spoke to the media at Trocadéro say China lacked?,freedom of speech,0.596446991,0.707217336,1,0.1,0,0.524560809,0.477966785,1,0.1,0
What did the political parties request a brief stop in?,the National Assembly's session,0.295752048,0.742872298,0,0,0,0.362799823,0.780273199,0,0,0
What text was on the banner that the politicians unrolled outside?,Respect for Human Rights in China,0.660753191,0.645642996,0,0,1,0.663442075,0.631746829,0,0,1
What did MPs yell when the torch passed them?,Freedom for Tibet!,0.387618363,0.5054093,0,0,1,0.375702649,0.512164652,0,0,1
Various French politicians started protests including members of what?,Parliament,0.14015314,0.330746919,1,0.0625,1,0.14015314,0.330746919,1,0.0625,1
All the French political factions requested a temporary halt to what?,National Assembly's session,0.246765018,0.628313184,1,0.055555556,0,0.237833396,0.591347218,1,0.055555556,0
Why did the banner say that was unveiled during the temporary halt?,Respect for Human Rights in China,0.592304111,0.856108904,0,0,1,0.61750114,0.872680962,0,0,1
What did the Parliamentary members yell as the relay passed?,Freedom for Tibet!,0.201353312,0.439739108,0,0,0,0.400264293,0.582419038,0,0,0
What did French police take from demonstrators?,Tibetan flags,0.413973331,0.769553244,1,0.071428571,0,0.524102807,0.690498769,1,0.071428571,0
Which newspaper reported that only the Chinese could express themselves?,Libération,0.571534514,0.867473602,1,0.076923077,0,0.772777677,0.58472687,1,0.076923077,0
Where was the only place the Tibetan flag could be held?,the Trocadéro,0.455582321,0.793326557,1,0.090909091,1,0.056475461,0.184768558,1,0.142857143,1
Who was the Minister of the Interior?,Michèle Alliot-Marie,0.641513109,0.440204352,1,0.142857143,0,0.635437191,0.435192108,1,0.142857143,0
What did French law enforcement take from protesters?,Tibetan flags,0.578340411,0.434090793,1,0.083333333,0,0.62926358,0.760508299,1,0.083333333,0
Where was the only place Tibetan flags were permitted?,the Trocadéro.,0.438800186,0.798021317,1,0.090909091,1,0.058166273,0.172012568,1,0.142857143,1
Who said the police acted on their own in taking the flags?,Michèle Alliot-Marie,0.32386899,0.211539984,0,0,0,0.647077203,0.451183558,0,0,0
Who rendered a France 2 camera person unconscious?,a police officer,0.32894057,0.760252655,0.5,0.076923077,0,0.480524153,0.872323513,0,0,0
Where did the torch start it's North American route?,San Francisco,0.752759337,0.701158285,1,0.037037037,1,0.835591614,0.774348319,1,0.125,1
What day did the torch arrive in San Francisco?,Apr-09,0.709905505,0.836110055,1,0.047619048,1,0.364074349,0.297588438,1,0.111111111,0
What is the name of the first North American torchbearer?,Lin Li,0.522585869,0.791787148,1,0.064516129,0,0.310697377,0.146369904,0,0,1
The route end was changed from Justin Herman plaza to what?,San Francisco International Airport,0.481072247,0.81085217,0,0,1,0.476818204,0.815784931,0,0,1
Who was the head of the U.S. Olympic Committee?,Peter Ueberroth,0.240067363,0.259857178,1,0.058823529,1,0.324793041,0.259857178,0,0,1
What city in the United States held the 2008 Olympic Torch relay?,San Francisco,0.20393765,0.305219024,0.333333333,0.047619048,1,0.805726767,0.850366235,0.333333333,0.1,0
What was the date of the relay in the United States?,April 9.,0.630270839,0.849620759,0,0,1,0.307826161,0.397320867,0,0,0
What is the name of the person who handed off the torch to the torchbearer in the United States 2008 Olympic relay?,Norman Bellingham,0.725022495,0.853561282,0.5,0.033333333,1,0.042785965,0.221764565,0.5,0.125,0
What is the name of the location where the relay ending event was canceled?,Justin Herman Plaza,0.196391612,0.25048852,0,0,1,0.196391612,0.25048852,0,0,1
"Who approved a resolution concerning human rights on April 1, 2008?",San Francisco Board of Supervisors,0.483390868,0.798011899,1,0.066666667,0,0.483390868,0.798011899,1,0.066666667,0
The concern was over what in China and Tibet?,human rights abuses,0.469481796,0.840573907,1,0.166666667,0,0.763237953,0.572955847,1,0.166666667,0
What date was the protest which was led by Gere and Tutu?,Apr-08,0.469420105,0.769729376,0,0,0,0.479848951,0.786403358,0,0,0
When was a resolution agreed to about Chinese human rights issues in San Francisco?,"April 1, 2008",0.616820753,0.677670181,1,0.142857143,1,0.687541962,0.680418134,1,0.142857143,1
Who approved the resolution?,San Francisco Board of Supervisors,0.526585162,0.560632706,0,0,0,0.801416337,0.687039852,0,0,0
Where was a protest planned in San Francisco?,United Nations Plaza,0.183140695,0.269853354,1,0.055555556,0,0.183140695,0.269853354,1,0.055555556,0
What actor was scheduled to attend a San Francisco Olympic protest?,Richard Gere,0.156082988,0.251364619,1,0.055555556,0,0.33846724,0.314239919,1,0.055555556,0
"Three protester climbed what to hang two banners on April 7, 2008?",Golden Gate Bridge,0.440447509,0.57906431,0,0,0,0.192374021,0.239527449,0,0,0
Laurel Sutherlin spoke to which TV station about his concerns?,KPIX-CBS5,0.541861951,0.797853112,0,0,0,0.396550149,0.797853112,0,0,0
Who asked that the San Francisco relay route be shortened?,China,0.621706128,0.842550814,1,0.05,0,0.47901094,0.840965867,0,0,1
What famous bridge had two banners hung from it by protesters?,Golden Gate Bridge,0.404206574,0.521436453,1,0.041666667,0,0.404206574,0.521436453,1,0.04,0
Who spoke to station KPIX-CBS5 about the bridge banner protests?,Laurel Sutherlin,0.149371803,0.074229583,0,0,0,0.149371803,0.074229583,0,0,0
How many supporters face charges for the bridge stunt?,five,0.137569949,0.193091139,0,0,1,0.137569949,0.193091139,0,0,1
How many activists may be charged with crimes for the bridge stunt?,three,0.002160241,0.071510889,0,0,0,0.002160241,0.071510889,0,0,0
Where did the first relay runner disappear to with the torch??,a warehouse,0.293753207,0.432842284,1,0.043478261,0,0.789288163,0.744940162,0,0,0
Which wheelchair-bound torchbearer was ejected from the relay for showing a Tibetan flag?,Andrew Michael,0.38502264,0.146669015,1,0.083333333,0,0.412775874,0.062778324,0,0,1
What wheelchair-bound bearer of the Olympic torch displayed a Tibetan flag?,Andrew Michael,0.44853276,0.220458165,0.5,0.076923077,0,0.44853276,0.220458165,0.5,0.076923077,0
Where was the last part of the San Francisco torch relay carried through before getting on a bus?,Marina district,0.617520928,0.840204656,1,0.047619048,1,0.437305391,0.877381682,0,0,1
Where was a makeshift closing ceremony held for the torch relay in San Francisco?,San Francisco International Airport,0.619389653,0.899231672,1,0.041666667,1,0.374368489,0.426148385,1,0.041666667,1
"After the bearer of the torch disappeared into a warehouse, what road did the relay reappear on?",Van Ness Avenue,0.4046233,0.628198147,0,0,0,0.434064448,0.853023291,0,0,0
When did the Olympic torch relay begin in Buenos Aires?,Apr-11,0.841318548,0.878387034,0.5,0.034482759,1,0.212992907,0.087571248,0.5,0.166666667,1
Where did the torch route start in Buenos Aires?,the Lola Mora amphitheatre,0.666462064,0.700725794,1,0.047619048,1,0.497896671,0.91344583,1,0.166666667,0
Who was the mayor of Buenos Aires?,Mauricio Macri,0.180021375,0.373088837,1,0.055555556,1,0.180021375,0.373088837,1,0.055555556,1
Where did the Olympic torch relay begin in Argentina?,Buenos Aires,0.740770221,0.819480062,0.5,0.03030303,1,0.635577679,0.496624768,0.5,0.166666667,1
What place held an opening show for the relay?,Lola Mora amphitheatre,0.708325803,0.630899966,0,0,0,0.585777283,0.929131687,0,0,0
